batch_index	slot	seq_id	position	token
0	0	0	0	14076
1	1	0	1	7168
2	2	0	2	7822
3	3	0	3	81113
4	4	0	4	13
5	5	0	5	1096
6	6	0	6	1681
7	7	0	7	702
8	8	0	8	1181
9	9	0	9	1828
10	10	0	10	3840
11	11	0	11	323
12	12	0	12	2309
13	13	0	13	5546
14	14	0	14	13
15	15	0	15	28871
16	16	0	16	7168
17	17	0	17	7822
18	18	0	18	81113
19	19	0	19	13
20	20	0	20	1096
21	21	0	21	1681
22	22	0	22	702
23	23	0	23	1181
24	24	0	24	1828
25	25	0	25	3840
26	26	0	26	323
27	27	0	27	2309
28	28	0	28	5546
29	29	0	29	13
30	30	0	30	28871
31	31	0	31	7168
32	32	0	32	7822
33	33	0	33	81113
34	34	0	34	13
35	35	0	35	1096
36	36	0	36	1681
37	37	0	37	702
38	38	0	38	1181
39	39	0	39	1828
40	40	0	40	3840
41	41	0	41	323
42	42	0	42	2309
43	43	0	43	5546
44	44	0	44	13
45	45	0	45	28871
46	46	0	46	7168
47	47	0	47	7822
48	48	1	0	14076
49	49	1	1	825
50	50	1	2	7822
51	51	1	3	33358
52	52	1	4	13
53	53	1	5	1096
54	54	1	6	1681
55	55	1	7	702
56	56	1	8	1181
57	57	1	9	1828
58	58	1	10	3840
59	59	1	11	323
60	60	1	12	2309
61	61	1	13	5546
62	62	1	14	13
63	63	1	15	28871
64	64	1	16	825
65	65	1	17	7822
66	66	1	18	33358
67	67	1	19	13
68	68	1	20	1096
69	69	1	21	1681
70	70	1	22	702
71	71	1	23	1181
72	72	1	24	1828
73	73	1	25	3840
74	74	1	26	323
75	75	1	27	2309
76	76	1	28	5546
77	77	1	29	13
78	78	1	30	28871
79	79	1	31	825
80	80	1	32	7822
81	81	1	33	33358
82	82	1	34	13
83	83	1	35	1096
84	84	1	36	1681
85	85	1	37	702
86	86	1	38	1181
87	87	1	39	1828
88	88	1	40	3840
89	89	1	41	323
90	90	1	42	2309
91	91	1	43	5546
92	92	1	44	13
93	93	1	45	28871
94	94	1	46	825
95	95	1	47	7822
96	96	1	48	33358
97	97	1	49	13
98	98	1	50	1096
99	99	1	51	1681
100	100	1	52	702
101	101	1	53	1181
102	102	1	54	1828
103	103	1	55	3840
104	104	2	0	14076
105	105	2	1	1378
106	106	2	2	7822
107	107	2	3	87075
108	108	2	4	13
109	109	2	5	1096
110	110	2	6	1681
111	111	2	7	702
112	112	2	8	1181
113	113	2	9	1828
114	114	2	10	3840
115	115	2	11	323
116	116	2	12	2309
117	117	2	13	5546
118	118	2	14	13
119	119	2	15	28871
120	120	2	16	1378
121	121	2	17	7822
122	122	2	18	87075
123	123	2	19	13
124	124	2	20	1096
125	125	2	21	1681
126	126	2	22	702
127	127	2	23	1181
128	128	2	24	1828
129	129	2	25	3840
130	130	2	26	323
131	131	2	27	2309
132	132	2	28	5546
133	133	2	29	13
134	134	2	30	28871
135	135	2	31	1378
136	136	2	32	7822
137	137	2	33	87075
138	138	2	34	13
139	139	2	35	1096
140	140	2	36	1681
141	141	2	37	702
142	142	2	38	1181
143	143	2	39	1828
144	144	2	40	3840
145	145	2	41	323
146	146	2	42	2309
147	147	2	43	5546
148	148	2	44	13
149	149	2	45	28871
150	150	2	46	1378
151	151	2	47	7822
152	152	2	48	87075
153	153	2	49	13
154	154	2	50	1096
155	155	2	51	1681
156	156	2	52	702
157	157	2	53	1181
158	158	2	54	1828
159	159	2	55	3840
160	160	2	56	323
161	161	2	57	2309
162	162	2	58	5546
163	163	2	59	13
164	164	2	60	28871
165	165	2	61	1378
166	166	2	62	7822
167	167	2	63	87075
168	168	3	0	14076
169	169	3	1	2326
170	170	3	2	7822
171	171	3	3	31806
172	172	3	4	13
173	173	3	5	1096
174	174	3	6	1681
175	175	3	7	702
176	176	3	8	1181
177	177	3	9	1828
178	178	3	10	3840
179	179	3	11	323
180	180	3	12	2309
181	181	3	13	5546
182	182	3	14	13
183	183	3	15	28871
184	184	3	16	2326
185	185	3	17	7822
186	186	3	18	31806
187	187	3	19	13
188	188	3	20	1096
189	189	3	21	1681
190	190	3	22	702
191	191	3	23	1181
192	192	3	24	1828
193	193	3	25	3840
194	194	3	26	323
195	195	3	27	2309
196	196	3	28	5546
197	197	3	29	13
198	198	3	30	28871
199	199	3	31	2326
200	200	3	32	7822
201	201	3	33	31806
202	202	3	34	13
203	203	3	35	1096
204	204	3	36	1681
205	205	3	37	702
206	206	3	38	1181
207	207	3	39	1828
208	208	3	40	3840
209	209	3	41	323
210	210	3	42	2309
211	211	3	43	5546
212	212	3	44	13
213	213	3	45	28871
214	214	3	46	2326
215	215	3	47	7822
216	216	3	48	31806
217	217	3	49	13
218	218	3	50	1096
219	219	3	51	1681
220	220	3	52	702
221	221	3	53	1181
222	222	3	54	1828
223	223	3	55	3840
224	224	3	56	323
225	225	3	57	2309
226	226	3	58	5546
227	227	3	59	13
228	228	3	60	28871
229	229	3	61	2326
230	230	3	62	7822
231	231	3	63	31806
232	232	3	64	13
233	233	3	65	1096
234	234	3	66	1681
235	235	3	67	702
236	236	3	68	1181
237	237	3	69	1828
238	238	3	70	3840
239	239	3	71	323
