index	token	position	seq_id	output
0	14076	0	0	0
1	7168	1	0	0
2	7822	2	0	0
3	81113	3	0	0
4	13	4	0	0
5	1096	5	0	0
6	1681	6	0	0
7	702	7	0	0
8	1181	8	0	0
9	1828	9	0	0
10	3840	10	0	0
11	323	11	0	0
12	2309	12	0	0
13	5546	13	0	0
14	13	14	0	0
15	28871	15	0	0
16	7168	16	0	0
17	7822	17	0	0
18	81113	18	0	0
19	13	19	0	0
20	1096	20	0	0
21	1681	21	0	0
22	702	22	0	0
23	1181	23	0	0
24	1828	24	0	0
25	3840	25	0	0
26	323	26	0	0
27	2309	27	0	0
28	5546	28	0	0
29	13	29	0	0
30	28871	30	0	0
31	7168	31	0	0
32	7822	32	0	0
33	81113	33	0	0
34	13	34	0	0
35	1096	35	0	0
36	1681	36	0	0
37	702	37	0	0
38	1181	38	0	0
39	1828	39	0	0
40	3840	40	0	0
41	323	41	0	0
42	2309	42	0	0
43	5546	43	0	0
44	13	44	0	0
45	28871	45	0	0
46	7168	46	0	0
47	7822	47	0	1
48	14076	0	1	0
49	825	1	1	0
50	7822	2	1	0
51	33358	3	1	0
52	13	4	1	0
53	1096	5	1	0
54	1681	6	1	0
55	702	7	1	0
56	1181	8	1	0
57	1828	9	1	0
58	3840	10	1	0
59	323	11	1	0
60	2309	12	1	0
61	5546	13	1	0
62	13	14	1	0
63	28871	15	1	0
64	825	16	1	0
65	7822	17	1	0
66	33358	18	1	0
67	13	19	1	0
68	1096	20	1	0
69	1681	21	1	0
70	702	22	1	0
71	1181	23	1	0
72	1828	24	1	0
73	3840	25	1	0
74	323	26	1	0
75	2309	27	1	0
76	5546	28	1	0
77	13	29	1	0
78	28871	30	1	0
79	825	31	1	0
80	7822	32	1	0
81	33358	33	1	0
82	13	34	1	0
83	1096	35	1	0
84	1681	36	1	0
85	702	37	1	0
86	1181	38	1	0
87	1828	39	1	0
88	3840	40	1	0
89	323	41	1	0
90	2309	42	1	0
91	5546	43	1	0
92	13	44	1	0
93	28871	45	1	0
94	825	46	1	0
95	7822	47	1	0
96	33358	48	1	0
97	13	49	1	0
98	1096	50	1	0
99	1681	51	1	0
100	702	52	1	0
101	1181	53	1	0
102	1828	54	1	0
103	3840	55	1	1
104	14076	0	2	0
105	1378	1	2	0
106	7822	2	2	0
107	87075	3	2	0
108	13	4	2	0
109	1096	5	2	0
110	1681	6	2	0
111	702	7	2	0
112	1181	8	2	0
113	1828	9	2	0
114	3840	10	2	0
115	323	11	2	0
116	2309	12	2	0
117	5546	13	2	0
118	13	14	2	0
119	28871	15	2	0
120	1378	16	2	0
121	7822	17	2	0
122	87075	18	2	0
123	13	19	2	0
124	1096	20	2	0
125	1681	21	2	0
126	702	22	2	0
127	1181	23	2	0
128	1828	24	2	0
129	3840	25	2	0
130	323	26	2	0
131	2309	27	2	0
132	5546	28	2	0
133	13	29	2	0
134	28871	30	2	0
135	1378	31	2	0
136	7822	32	2	0
137	87075	33	2	0
138	13	34	2	0
139	1096	35	2	0
140	1681	36	2	0
141	702	37	2	0
142	1181	38	2	0
143	1828	39	2	0
144	3840	40	2	0
145	323	41	2	0
146	2309	42	2	0
147	5546	43	2	0
148	13	44	2	0
149	28871	45	2	0
150	1378	46	2	0
151	7822	47	2	0
152	87075	48	2	0
153	13	49	2	0
154	1096	50	2	0
155	1681	51	2	0
156	702	52	2	0
157	1181	53	2	0
158	1828	54	2	0
159	3840	55	2	0
160	323	56	2	0
161	2309	57	2	0
162	5546	58	2	0
163	13	59	2	0
164	28871	60	2	0
165	1378	61	2	0
166	7822	62	2	0
167	87075	63	2	1
168	14076	0	3	0
169	2326	1	3	0
170	7822	2	3	0
171	31806	3	3	0
172	13	4	3	0
173	1096	5	3	0
174	1681	6	3	0
175	702	7	3	0
176	1181	8	3	0
177	1828	9	3	0
178	3840	10	3	0
179	323	11	3	0
180	2309	12	3	0
181	5546	13	3	0
182	13	14	3	0
183	28871	15	3	0
184	2326	16	3	0
185	7822	17	3	0
186	31806	18	3	0
187	13	19	3	0
188	1096	20	3	0
189	1681	21	3	0
190	702	22	3	0
191	1181	23	3	0
192	1828	24	3	0
193	3840	25	3	0
194	323	26	3	0
195	2309	27	3	0
196	5546	28	3	0
197	13	29	3	0
198	28871	30	3	0
199	2326	31	3	0
200	7822	32	3	0
201	31806	33	3	0
202	13	34	3	0
203	1096	35	3	0
204	1681	36	3	0
205	702	37	3	0
206	1181	38	3	0
207	1828	39	3	0
208	3840	40	3	0
209	323	41	3	0
210	2309	42	3	0
211	5546	43	3	0
212	13	44	3	0
213	28871	45	3	0
214	2326	46	3	0
215	7822	47	3	0
216	31806	48	3	0
217	13	49	3	0
218	1096	50	3	0
219	1681	51	3	0
220	702	52	3	0
221	1181	53	3	0
222	1828	54	3	0
223	3840	55	3	0
224	323	56	3	0
225	2309	57	3	0
226	5546	58	3	0
227	13	59	3	0
228	28871	60	3	0
229	2326	61	3	0
230	7822	62	3	0
231	31806	63	3	0
232	13	64	3	0
233	1096	65	3	0
234	1681	66	3	0
235	702	67	3	0
236	1181	68	3	0
237	1828	69	3	0
238	3840	70	3	0
239	323	71	3	1
