workload,mode,iteration,context_tokens,input_tokens,component,layer,time_us
prefill,baseline,0,0,32,llama_decode_wall,-1,276807.684
prefill,baseline,1,0,32,llama_decode_wall,-1,294202.655
prefill,baseline,2,0,32,llama_decode_wall,-1,292392.286
prefill,baseline,3,0,32,llama_decode_wall,-1,297927.114
prefill,baseline,4,0,32,llama_decode_wall,-1,292922.630
prefill,baseline,5,0,32,llama_decode_wall,-1,306155.961
prefill,baseline,6,0,32,llama_decode_wall,-1,305062.723
prefill,baseline,7,0,32,llama_decode_wall,-1,298461.715
prefill,baseline,8,0,32,llama_decode_wall,-1,293554.290
prefill,baseline,9,0,32,llama_decode_wall,-1,293072.400
prefill,instrumented,0,0,32,embedding,-1,14.310
prefill,instrumented,0,0,32,decoder_layer,0,8890.254
prefill,instrumented,0,0,32,decoder_layer,1,10553.469
prefill,instrumented,0,0,32,decoder_layer,2,9707.658
prefill,instrumented,0,0,32,decoder_layer,3,9208.548
prefill,instrumented,0,0,32,decoder_layer,4,9458.360
prefill,instrumented,0,0,32,decoder_layer,5,9600.966
prefill,instrumented,0,0,32,decoder_layer,6,9637.121
prefill,instrumented,0,0,32,decoder_layer,7,9926.745
prefill,instrumented,0,0,32,decoder_layer,8,9673.814
prefill,instrumented,0,0,32,decoder_layer,9,9722.609
prefill,instrumented,0,0,32,decoder_layer,10,9059.324
prefill,instrumented,0,0,32,decoder_layer,11,8978.133
prefill,instrumented,0,0,32,decoder_layer,12,9332.685
prefill,instrumented,0,0,32,decoder_layer,13,9020.453
prefill,instrumented,0,0,32,decoder_layer,14,9952.556
prefill,instrumented,0,0,32,decoder_layer,15,9859.900
prefill,instrumented,0,0,32,decoder_layer,16,9501.013
prefill,instrumented,0,0,32,decoder_layer,17,9551.373
prefill,instrumented,0,0,32,decoder_layer,18,9641.249
prefill,instrumented,0,0,32,decoder_layer,19,9857.688
prefill,instrumented,0,0,32,decoder_layer,20,8997.372
prefill,instrumented,0,0,32,decoder_layer,21,9423.451
prefill,instrumented,0,0,32,decoder_layer,22,9276.445
prefill,instrumented,0,0,32,decoder_layer,23,7968.293
prefill,instrumented,0,0,32,decoder_layer,24,8701.299
prefill,instrumented,0,0,32,decoder_layer,25,10184.366
prefill,instrumented,0,0,32,decoder_layer,26,10027.214
prefill,instrumented,0,0,32,decoder_layer,27,4995.298
prefill,instrumented,0,0,32,decoder_layers_total,-1,260707.656
prefill,instrumented,0,0,32,decoder_shard_total,-1,260721.966
prefill,instrumented,0,0,32,final_norm,-1,25.672
prefill,instrumented,0,0,32,lm_head,-1,10057.963
prefill,instrumented,0,0,32,head_shard_total,-1,10083.635
prefill,instrumented,0,0,32,graph_sum,-1,270805.601
prefill,instrumented,0,0,32,llama_decode_wall,-1,270991.633
prefill,instrumented,0,0,32,outside_timed_stages,-1,186.032
prefill,instrumented,1,0,32,embedding,-1,19.585
prefill,instrumented,1,0,32,decoder_layer,0,9825.643
prefill,instrumented,1,0,32,decoder_layer,1,9581.414
prefill,instrumented,1,0,32,decoder_layer,2,10128.160
prefill,instrumented,1,0,32,decoder_layer,3,9355.797
prefill,instrumented,1,0,32,decoder_layer,4,10507.433
prefill,instrumented,1,0,32,decoder_layer,5,8771.166
prefill,instrumented,1,0,32,decoder_layer,6,9870.552
prefill,instrumented,1,0,32,decoder_layer,7,10210.006
prefill,instrumented,1,0,32,decoder_layer,8,9911.861
prefill,instrumented,1,0,32,decoder_layer,9,9663.680
prefill,instrumented,1,0,32,decoder_layer,10,9475.662
prefill,instrumented,1,0,32,decoder_layer,11,10727.864
prefill,instrumented,1,0,32,decoder_layer,12,8591.081
prefill,instrumented,1,0,32,decoder_layer,13,8557.927
prefill,instrumented,1,0,32,decoder_layer,14,9471.552
prefill,instrumented,1,0,32,decoder_layer,15,9743.211
prefill,instrumented,1,0,32,decoder_layer,16,9282.971
prefill,instrumented,1,0,32,decoder_layer,17,9648.481
prefill,instrumented,1,0,32,decoder_layer,18,9636.295
prefill,instrumented,1,0,32,decoder_layer,19,9261.630
prefill,instrumented,1,0,32,decoder_layer,20,9868.586
prefill,instrumented,1,0,32,decoder_layer,21,10357.098
prefill,instrumented,1,0,32,decoder_layer,22,9842.100
prefill,instrumented,1,0,32,decoder_layer,23,9312.425
prefill,instrumented,1,0,32,decoder_layer,24,9368.480
prefill,instrumented,1,0,32,decoder_layer,25,9384.047
prefill,instrumented,1,0,32,decoder_layer,26,9696.489
prefill,instrumented,1,0,32,decoder_layer,27,4947.155
prefill,instrumented,1,0,32,decoder_layers_total,-1,264998.766
prefill,instrumented,1,0,32,decoder_shard_total,-1,265018.351
prefill,instrumented,1,0,32,final_norm,-1,23.433
prefill,instrumented,1,0,32,lm_head,-1,9807.334
prefill,instrumented,1,0,32,head_shard_total,-1,9830.767
prefill,instrumented,1,0,32,graph_sum,-1,274849.118
prefill,instrumented,1,0,32,llama_decode_wall,-1,275062.717
prefill,instrumented,1,0,32,outside_timed_stages,-1,213.599
prefill,instrumented,2,0,32,embedding,-1,19.427
prefill,instrumented,2,0,32,decoder_layer,0,9799.381
prefill,instrumented,2,0,32,decoder_layer,1,9463.900
prefill,instrumented,2,0,32,decoder_layer,2,10417.540
prefill,instrumented,2,0,32,decoder_layer,3,10350.207
prefill,instrumented,2,0,32,decoder_layer,4,9780.998
prefill,instrumented,2,0,32,decoder_layer,5,10394.884
prefill,instrumented,2,0,32,decoder_layer,6,10498.039
prefill,instrumented,2,0,32,decoder_layer,7,10580.178
prefill,instrumented,2,0,32,decoder_layer,8,11389.403
prefill,instrumented,2,0,32,decoder_layer,9,10259.540
prefill,instrumented,2,0,32,decoder_layer,10,10202.469
prefill,instrumented,2,0,32,decoder_layer,11,10413.911
prefill,instrumented,2,0,32,decoder_layer,12,10288.427
prefill,instrumented,2,0,32,decoder_layer,13,10171.142
prefill,instrumented,2,0,32,decoder_layer,14,11560.170
prefill,instrumented,2,0,32,decoder_layer,15,10842.599
prefill,instrumented,2,0,32,decoder_layer,16,10024.127
prefill,instrumented,2,0,32,decoder_layer,17,9690.998
prefill,instrumented,2,0,32,decoder_layer,18,13329.877
prefill,instrumented,2,0,32,decoder_layer,19,10017.835
prefill,instrumented,2,0,32,decoder_layer,20,10501.024
prefill,instrumented,2,0,32,decoder_layer,21,10501.041
prefill,instrumented,2,0,32,decoder_layer,22,10347.931
prefill,instrumented,2,0,32,decoder_layer,23,10073.180
prefill,instrumented,2,0,32,decoder_layer,24,10672.726
prefill,instrumented,2,0,32,decoder_layer,25,9846.642
