platform,backend,model,parameter_class,weight_quantization,test_type,length_tokens,metric,value,unit,direction,statistic,repetitions,status,source_file,notes
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,1024,prefill_throughput,100.830,tokens/s,higher_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m1153_prefill_text_1024_r1.log,prompt evaluation; one generated token only closes the run
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,1024,process_peak_rss,4702.910,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m1153_prefill_text_1024_r1.mem.csv,prefill
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,1024,attention_kv_cache,15.000,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m1153_prefill_text_1024_r1.mem.csv,derived as KV incl state minus recurrent state
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,1024,recurrent_state,0.280,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m1153_prefill_text_1024_r1.mem.csv,reported recurrent/state component
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,1024,total_context_state,15.280,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m1153_prefill_text_1024_r1.mem.csv,source field: KV incl state
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,2048,prefill_throughput,83.100,tokens/s,higher_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m2177_prefill_text_2048_r1.log,prompt evaluation; one generated token only closes the run
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,2048,process_peak_rss,5119.930,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m2177_prefill_text_2048_r1.mem.csv,prefill
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,2048,attention_kv_cache,27.000,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m2177_prefill_text_2048_r1.mem.csv,derived as KV incl state minus recurrent state
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,2048,recurrent_state,0.280,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m2177_prefill_text_2048_r1.mem.csv,reported recurrent/state component
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,2048,total_context_state,27.280,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m2177_prefill_text_2048_r1.mem.csv,source field: KV incl state
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,3072,prefill_throughput,92.650,tokens/s,higher_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m3201_prefill_text_3072_r1.log,prompt evaluation; one generated token only closes the run
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,3072,process_peak_rss,5131.140,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m3201_prefill_text_3072_r1.mem.csv,prefill
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,3072,attention_kv_cache,39.000,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m3201_prefill_text_3072_r1.mem.csv,derived as KV incl state minus recurrent state
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,3072,recurrent_state,0.280,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m3201_prefill_text_3072_r1.mem.csv,reported recurrent/state component
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,3072,total_context_state,39.280,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m3201_prefill_text_3072_r1.mem.csv,source field: KV incl state
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,4096,prefill_throughput,79.430,tokens/s,higher_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m4225_prefill_text_4096_r1.log,prompt evaluation; one generated token only closes the run
OnePlus PLK110 / Qualcomm SM8850 / Android 16,CPU,LFM2.5-8B-A1B（8.47B）,8.47B / 8B-A1B,Q4_0,prefill,4096,process_peak_rss,5338.810,MiB,lower_is_better,single_run_observed,1,PASS,/home/qwe/下载/cpu-text-bench-logs/20260820-154052/LFM2.5_m4225_prefill_text_4096_r1.mem.csv,prefill
