memory_used_mib,utilization_percent,power_w
1212.0,10.0,136.93
1226.0,10.0,136.99
1473.0,10.0,137.49
4761.0,10.0,137.65
4752.0,10.0,137.93
4752.0,10.0,141.02
4752.0,10.0,144.47
4752.0,10.0,147.99
5125.0,10.0,154.85
5195.0,10.0,167.9
5267.0,10.0,186.99
5267.0,10.0,202.76
5267.0,10.0,238.78
5267.0,10.0,256.58
5268.0,10.0,272.19
5268.0,10.0,287.41
4936.0,10.0,302.35
4928.0,10.0,330.87
4928.0,10.0,336.76
4928.0,10.0,336.81
4928.0,10.0,341.3
4928.0,10.0,342.71
4928.0,10.0,344.1
4928.0,10.0,344.79
4928.0,10.0,343.95
4928.0,10.0,345.12
4928.0,10.0,345.81
4928.0,10.0,345.94
4936.0,10.0,345.1
4928.0,10.0,345.49
4928.0,10.0,345.71
4928.0,10.0,345.79
4928.0,10.0,345.26
4927.0,10.0,345.55
1539.0,10.0,345.64
